DateID,Date,Year,Quarter,Month,MonthName,Week,DayOfWeek,IsWeekend,FiscalYear,FiscalQuarter
20200321,2020-03-21,2020,Q1,3,March,12,Saturday,True,2019,FQ4
20200322,2020-03-22,2020,Q1,3,March,12,Sunday,True,2019,FQ4
20200323,2020-03-23,2020,Q1,3,March,13,Monday,False,2019,FQ4
20200324,2020-03-24,2020,Q1,3,March,13,Tuesday,False,2019,FQ4
20200325,2020-03-25,2020,Q1,3,March,13,Wednesday,False,2019,FQ4
20200326,2020-03-26,2020,Q1,3,March,13,Thursday,False,2019,FQ4
20200327,2020-03-27,2020,Q1,3,March,13,Friday,False,2019,FQ4
20200328,2020-03-28,2020,Q1,3,March,13,Saturday,True,2019,FQ4
20200329,2020-03-29,2020,Q1,3,March,13,Sunday,True,2019,FQ4
20200330,2020-03-30,2020,Q1,3,March,14,Monday,False,2019,FQ4
20200331,2020-03-31,2020,Q1,3,March,14,Tuesday,False,2019,FQ4
20200401,2020-04-01,2020,Q2,4,April,14,Wednesday,False,2020,FQ1
20200402,2020-04-02,2020,Q2,4,April,14,Thursday,False,2020,FQ1
20200403,2020-04-03,2020,Q2,4,April,14,Friday,False,2020,FQ1
20200404,2020-04-04,2020,Q2,4,April,14,Saturday,True,2020,FQ1
20200405,2020-04-05,2020,Q2,4,April,14,Sunday,True,2020,FQ1
20200406,2020-04-06,2020,Q2,4,April,15,Monday,False,2020,FQ1
20200407,2020-04-07,2020,Q2,4,April,15,Tuesday,False,2020,FQ1
20200408,2020-04-08,2020,Q2,4,April,15,Wednesday,False,2020,FQ1
20200409,2020-04-09,2020,Q2,4,April,15,Thursday,False,2020,FQ1
20200410,2020-04-10,2020,Q2,4,April,15,Friday,False,2020,FQ1
20200411,2020-04-11,2020,Q2,4,April,15,Saturday,True,2020,FQ1
20200412,2020-04-12,2020,Q2,4,April,15,Sunday,True,2020,FQ1
20200413,2020-04-13,2020,Q2,4,April,16,Monday,False,2020,FQ1
20200414,2020-04-14,2020,Q2,4,April,16,Tuesday,False,2020,FQ1
20200415,2020-04-15,2020,Q2,4,April,16,Wednesday,False,2020,FQ1
20200416,2020-04-16,2020,Q2,4,April,16,Thursday,False,2020,FQ1
20200417,2020-04-17,2020,Q2,4,April,16,Friday,False,2020,FQ1
20200418,2020-04-18,2020,Q2,4,April,16,Saturday,True,2020,FQ1
20200419,2020-04-19,2020,Q2,4,April,16,Sunday,True,2020,FQ1
20200420,2020-04-20,2020,Q2,4,April,17,Monday,False,2020,FQ1
20200421,2020-04-21,2020,Q2,4,April,17,Tuesday,False,2020,FQ1
20200422,2020-04-22,2020,Q2,4,April,17,Wednesday,False,2020,FQ1
20200423,2020-04-23,2020,Q2,4,April,17,Thursday,False,2020,FQ1
20200424,2020-04-24,2020,Q2,4,April,17,Friday,False,2020,FQ1
20200425,2020-04-25,2020,Q2,4,April,17,Saturday,True,2020,FQ1
20200426,2020-04-26,2020,Q2,4,April,17,Sunday,True,2020,FQ1
20200427,2020-04-27,2020,Q2,4,April,18,Monday,False,2020,FQ1
20200428,2020-04-28,2020,Q2,4,April,18,Tuesday,False,2020,FQ1
20200429,2020-04-29,2020,Q2,4,April,18,Wednesday,False,2020,FQ1
20200430,2020-04-30,2020,Q2,4,April,18,Thursday,False,2020,FQ1
20200501,2020-05-01,2020,Q2,5,May,18,Friday,False,2020,FQ1
20200502,2020-05-02,2020,Q2,5,May,18,Saturday,True,2020,FQ1
20200503,2020-05-03,2020,Q2,5,May,18,Sunday,True,2020,FQ1
20200504,2020-05-04,2020,Q2,5,May,19,Monday,False,2020,FQ1
20200505,2020-05-05,2020,Q2,5,May,19,Tuesday,False,2020,FQ1
20200506,2020-05-06,2020,Q2,5,May,19,Wednesday,False,2020,FQ1
20200507,2020-05-07,2020,Q2,5,May,19,Thursday,False,2020,FQ1
20200508,2020-05-08,2020,Q2,5,May,19,Friday,False,2020,FQ1
20200509,2020-05-09,2020,Q2,5,May,19,Saturday,True,2020,FQ1
20200510,2020-05-10,2020,Q2,5,May,19,Sunday,True,2020,FQ1
20200511,2020-05-11,2020,Q2,5,May,20,Monday,False,2020,FQ1
20200512,2020-05-12,2020,Q2,5,May,20,Tuesday,False,2020,FQ1
20200513,2020-05-13,2020,Q2,5,May,20,Wednesday,False,2020,FQ1
20200514,2020-05-14,2020,Q2,5,May,20,Thursday,False,2020,FQ1
20200515,2020-05-15,2020,Q2,5,May,20,Friday,False,2020,FQ1
20200516,2020-05-16,2020,Q2,5,May,20,Saturday,True,2020,FQ1
20200517,2020-05-17,2020,Q2,5,May,20,Sunday,True,2020,FQ1
20200518,2020-05-18,2020,Q2,5,May,21,Monday,False,2020,FQ1
20200519,2020-05-19,2020,Q2,5,May,21,Tuesday,False,2020,FQ1
20200520,2020-05-20,2020,Q2,5,May,21,Wednesday,False,2020,FQ1
20200521,2020-05-21,2020,Q2,5,May,21,Thursday,False,2020,FQ1
20200522,2020-05-22,2020,Q2,5,May,21,Friday,False,2020,FQ1
20200523,2020-05-23,2020,Q2,5,May,21,Saturday,True,2020,FQ1
20200524,2020-05-24,2020,Q2,5,May,21,Sunday,True,2020,FQ1
20200525,2020-05-25,2020,Q2,5,May,22,Monday,False,2020,FQ1
20200526,2020-05-26,2020,Q2,5,May,22,Tuesday,False,2020,FQ1
20200527,2020-05-27,2020,Q2,5,May,22,Wednesday,False,2020,FQ1
20200528,2020-05-28,2020,Q2,5,May,22,Thursday,False,2020,FQ1
20200529,2020-05-29,2020,Q2,5,May,22,Friday,False,2020,FQ1
20200530,2020-05-30,2020,Q2,5,May,22,Saturday,True,2020,FQ1
20200531,2020-05-31,2020,Q2,5,May,22,Sunday,True,2020,FQ1
20200601,2020-06-01,2020,Q2,6,June,23,Monday,False,2020,FQ1
20200602,2020-06-02,2020,Q2,6,June,23,Tuesday,False,2020,FQ1
20200603,2020-06-03,2020,Q2,6,June,23,Wednesday,False,2020,FQ1
